study	nsubj
straighten	nsubj
send	nsubj
use	nsubj
pull	nsubj
accept	nsubj
murmur	dobj
repeat	nsubj
fight	nsubj
undertake	nsubj
suck	nsubj
relate	nsubj
hire	nsubj
head	nsubj
endeavour	nsubj
desire	nsubj
condemn	nsubjpass
clap	nsubj
approve	nsubj
alia	nsubj
hasten	nsubj
accompany	nsubj
toss	nsubj
groan	nsubj
glide	nsubj
experience	nsubj
comprehend	nsubj
address	nsubj
expect	nsubj
teach	nsubj
bow	nsubj
venture	nsubj
yell	dobj
spare	nsubjpass
snatch	nsubj
shove	nsubj
prick	nsubj
overtake	dobj
growl	dobj
groan	dobj
grip	nsubj
explain	dep
exclaim	xcomp
entreat	dobj
elevate	nsubj
dig	nsubj
attack	nsubj
adore	nsubj
find	nsubj
declare	nsubj
wake	dobj
force	nsubjpass
live	nsubj
receive	nsubj
turn	nsubj
need	nsubj
press	nsubj
quit	nsubj
strain	nsubj
interpose	nsubj
avoid	nsubj
accustom	nsubjpass
use	nsubjpass
commit	nsubj
answer	xcomp
get	nsubj
shiver	nsubj
mutter	dobj
express	nsubj
let	nsubj
resume	nsubj
address	dobj
advance	nsubj
command	nsubj
echo	dobj
deny	nsubj
count	nsubj
summon	nsubj
cherish	nsubj
chance	nsubj
wheel	nsubj
waver	nsubj
wail	nsubj
uphold	nsubj
toss	nsubjpass
taste	nsubj
sup	nsubj
strangle	dobj
stimulate	dobj
station	nsubjpass
speed	nsubj
slay	dobj
shout	xcomp
scare	nsubj
salute	dobj
saith	nsubj
refill	nsubj
recover	nsubjpass
reconcile	nsubj
puff	nsubj
prolong	nsubj
press	nsubjpass
please	dep
persist	dobj
pass	xcomp
like	ccomp
impress	nsubjpass
growl	dep
fulfil	nsubj
frighten	nsubjpass
falter	nsubj
exclude	dobj
escape	dep
don	nsubj
dine	dobj
devote	nsubj
despatch	dobj
charm	dobj
celebrate	nsubjpass
bother	nsubj
behave	nsubj
beguile	nsubj
awaken	nsubjpass
avenge	nsubj
appoint	nsubj
applaud	nsubj
applaud	dobj
aid	nsubj
swear	nsubj
remark	dobj
dance	nsubj
throw	nsubj
warn	dobj
interrupt	nsubj
encounter	nsubj
drag	nsubj
take	nsubj
offer	nsubj
thank	nsubj
remind	dobj
hurt	nsubj
guess	nsubj
kill	dobj
go	nsubj
stand	nsubj
drink	nsubj
invite	dobj
expect	nsubjpass
dress	nsubj
decline	nsubj
thunder	dobj
split	nsubj
smoke	nsubj
save	nsubjpass
retort	dep
nurse	dobj
murmur	dep
introduce	nsubj
indulge	nsubj
group	nsubjpass
gratify	nsubjpass
foresee	nsubj
feature	nmod
enable	dobj
ejaculate	nsubj
dominate	nsubj
dismiss	nsubj
brighten	nsubj
borrow	nsubj
blame	nsubj
answer	dobj
arrange	nsubj
choose	nsubj
agree	nsubj
catch	nsubj
finish	nsubj
regard	nsubj
threaten	nsubj
mention	nsubjpass
eat	nsubj
draw	nsubj
weep	nsubj
persuade	nsubj
deserve	nsubj
die	nsubj
reappear	nsubj
doubt	nsubj
bury	nsubjpass
back	nsubj
mount	nsubj
talk	nsubj
paint	nsubj
attend	nsubj
say	dep
dart	nsubj
stop	nsubj
hold	nsubj
accompany	dobj
give	iobj
love	dobj
leave	nsubj
welcome	nsubj
warn	nsubj
urge	nsubj
swallow	nsubj
strike	nsubjpass
picture	dobj
lock	nsubj
erect	nsubj
persist	nsubj
overthrow	dobj
hail	nsubj
get	parataxis
fear	nsubj
deliver	nsubj
crawl	nsubj
recommend	nsubj
quarrel	nsubj
note	nsubj
measure	nsubj
confine	nsubjpass
climb	nsubj
burn	nsubjpass
believe	dep
assert	nsubj
transcribe	nmod
swallow	nsubjpass
sign	xcomp
roar	dobj
report	nsubj
relieve	nsubj
pray	nsubj
introduce	nsubjpass
hurt	nsubjpass
dress	nsubjpass
die	dep
deposit	nsubj
consist	dobj
waken	nsubj
unlock	nsubj
understand	xcomp
trust	nsubj
rob	nsubj
repose	nsubj
reject	nsubj
reel	nsubj
preach	nsubj
oblige	nsubj
love	dep
level	nsubj
inhabit	nsubj
frighten	dobj
elude	nsubj
distinguish	nsubj
commend	nmod
